session_id,label,client_type,step_0_delta_time,step_0_cumulative_time,step_0_is_TRAINING_START,step_0_is_TRAINING_EPOCH,step_0_is_TRAINING_END,step_0_is_UPLOAD_SUCCESS,step_0_is_ATTACK_START,step_0_is_ATTACK_INIT,step_0_is_ATTACK_ITERATION,step_0_is_FILE_IO,step_0_is_UPLOAD_ATTEMPT,step_0_is_UPLOAD_DELAY,step_0_log_level,step_0_loss_value,step_0_loss_type,step_0_iteration_count,step_1_delta_time,step_1_cumulative_time,step_1_is_TRAINING_START,step_1_is_TRAINING_EPOCH,step_1_is_TRAINING_END,step_1_is_UPLOAD_SUCCESS,step_1_is_ATTACK_START,step_1_is_ATTACK_INIT,step_1_is_ATTACK_ITERATION,step_1_is_FILE_IO,step_1_is_UPLOAD_ATTEMPT,step_1_is_UPLOAD_DELAY,step_1_log_level,step_1_loss_value,step_1_loss_type,step_1_iteration_count,step_2_delta_time,step_2_cumulative_time,step_2_is_TRAINING_START,step_2_is_TRAINING_EPOCH,step_2_is_TRAINING_END,step_2_is_UPLOAD_SUCCESS,step_2_is_ATTACK_START,step_2_is_ATTACK_INIT,step_2_is_ATTACK_ITERATION,step_2_is_FILE_IO,step_2_is_UPLOAD_ATTEMPT,step_2_is_UPLOAD_DELAY,step_2_log_level,step_2_loss_value,step_2_loss_type,step_2_iteration_count,step_3_delta_time,step_3_cumulative_time,step_3_is_TRAINING_START,step_3_is_TRAINING_EPOCH,step_3_is_TRAINING_END,step_3_is_UPLOAD_SUCCESS,step_3_is_ATTACK_START,step_3_is_ATTACK_INIT,step_3_is_ATTACK_ITERATION,step_3_is_FILE_IO,step_3_is_UPLOAD_ATTEMPT,step_3_is_UPLOAD_DELAY,step_3_log_level,step_3_loss_value,step_3_loss_type,step_3_iteration_count,step_4_delta_time,step_4_cumulative_time,step_4_is_TRAINING_START,step_4_is_TRAINING_EPOCH,step_4_is_TRAINING_END,step_4_is_UPLOAD_SUCCESS,step_4_is_ATTACK_START,step_4_is_ATTACK_INIT,step_4_is_ATTACK_ITERATION,step_4_is_FILE_IO,step_4_is_UPLOAD_ATTEMPT,step_4_is_UPLOAD_DELAY,step_4_log_level,step_4_loss_value,step_4_loss_type,step_4_iteration_count,step_5_delta_time,step_5_cumulative_time,step_5_is_TRAINING_START,step_5_is_TRAINING_EPOCH,step_5_is_TRAINING_END,step_5_is_UPLOAD_SUCCESS,step_5_is_ATTACK_START,step_5_is_ATTACK_INIT,step_5_is_ATTACK_ITERATION,step_5_is_FILE_IO,step_5_is_UPLOAD_ATTEMPT,step_5_is_UPLOAD_DELAY,step_5_log_level,step_5_loss_value,step_5_loss_type,step_5_iteration_count,step_6_delta_time,step_6_cumulative_time,step_6_is_TRAINING_START,step_6_is_TRAINING_EPOCH,step_6_is_TRAINING_END,step_6_is_UPLOAD_SUCCESS,step_6_is_ATTACK_START,step_6_is_ATTACK_INIT,step_6_is_ATTACK_ITERATION,step_6_is_FILE_IO,step_6_is_UPLOAD_ATTEMPT,step_6_is_UPLOAD_DELAY,step_6_log_level,step_6_loss_value,step_6_loss_type,step_6_iteration_count,step_7_delta_time,step_7_cumulative_time,step_7_is_TRAINING_START,step_7_is_TRAINING_EPOCH,step_7_is_TRAINING_END,step_7_is_UPLOAD_SUCCESS,step_7_is_ATTACK_START,step_7_is_ATTACK_INIT,step_7_is_ATTACK_ITERATION,step_7_is_FILE_IO,step_7_is_UPLOAD_ATTEMPT,step_7_is_UPLOAD_DELAY,step_7_log_level,step_7_loss_value,step_7_loss_type,step_7_iteration_count,step_8_delta_time,step_8_cumulative_time,step_8_is_TRAINING_START,step_8_is_TRAINING_EPOCH,step_8_is_TRAINING_END,step_8_is_UPLOAD_SUCCESS,step_8_is_ATTACK_START,step_8_is_ATTACK_INIT,step_8_is_ATTACK_ITERATION,step_8_is_FILE_IO,step_8_is_UPLOAD_ATTEMPT,step_8_is_UPLOAD_DELAY,step_8_log_level,step_8_loss_value,step_8_loss_type,step_8_iteration_count,step_9_delta_time,step_9_cumulative_time,step_9_is_TRAINING_START,step_9_is_TRAINING_EPOCH,step_9_is_TRAINING_END,step_9_is_UPLOAD_SUCCESS,step_9_is_ATTACK_START,step_9_is_ATTACK_INIT,step_9_is_ATTACK_ITERATION,step_9_is_FILE_IO,step_9_is_UPLOAD_ATTEMPT,step_9_is_UPLOAD_DELAY,step_9_log_level,step_9_loss_value,step_9_loss_type,step_9_iteration_count,step_10_delta_time,step_10_cumulative_time,step_10_is_TRAINING_START,step_10_is_TRAINING_EPOCH,step_10_is_TRAINING_END,step_10_is_UPLOAD_SUCCESS,step_10_is_ATTACK_START,step_10_is_ATTACK_INIT,step_10_is_ATTACK_ITERATION,step_10_is_FILE_IO,step_10_is_UPLOAD_ATTEMPT,step_10_is_UPLOAD_DELAY,step_10_log_level,step_10_loss_value,step_10_loss_type,step_10_iteration_count,step_11_delta_time,step_11_cumulative_time,step_11_is_TRAINING_START,step_11_is_TRAINING_EPOCH,step_11_is_TRAINING_END,step_11_is_UPLOAD_SUCCESS,step_11_is_ATTACK_START,step_11_is_ATTACK_INIT,step_11_is_ATTACK_ITERATION,step_11_is_FILE_IO,step_11_is_UPLOAD_ATTEMPT,step_11_is_UPLOAD_DELAY,step_11_log_level,step_11_loss_value,step_11_loss_type,step_11_iteration_count,step_12_delta_time,step_12_cumulative_time,step_12_is_TRAINING_START,step_12_is_TRAINING_EPOCH,step_12_is_TRAINING_END,step_12_is_UPLOAD_SUCCESS,step_12_is_ATTACK_START,step_12_is_ATTACK_INIT,step_12_is_ATTACK_ITERATION,step_12_is_FILE_IO,step_12_is_UPLOAD_ATTEMPT,step_12_is_UPLOAD_DELAY,step_12_log_level,step_12_loss_value,step_12_loss_type,step_12_iteration_count
0,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.483,0.483,0,1,0,0,0,0,0,0,0,0,0,2.1337,1,0.01,0.251,0.734,0,1,0,0,0,0,0,0,0,0,0,1.5408,1,0.02,0.32,1.054,0,1,0,0,0,0,0,0,0,0,0,1.1283,1,0.03,0.273,1.327,0,1,0,0,0,0,0,0,0,0,0,0.8072,1,0.04,0.299,1.626,0,1,0,0,0,0,0,0,0,0,0,0.5843,1,0.05,0.1,1.726,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.826,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.567,0.567,0,1,0,0,0,0,0,0,0,0,0,2.1452,1,0.01,0.209,0.776,0,1,0,0,0,0,0,0,0,0,0,1.5347,1,0.02,0.229,1.005,0,1,0,0,0,0,0,0,0,0,0,1.1102,1,0.03,0.32,1.325,0,1,0,0,0,0,0,0,0,0,0,0.7966,1,0.04,0.343,1.668,0,1,0,0,0,0,0,0,0,0,0,0.6071,1,0.05,0.1,1.768,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.868,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,malicious,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.05,0.25,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3.619,3.869,0,0,0,0,0,0,1,0,0,0,0,16,-1,0,3.799,7.668,0,0,0,0,0,0,1,0,0,0,0,12.8,-1,0.5,2.057,9.725,0,0,0,0,0,0,1,0,0,0,0,10.24,-1,1,3.068,12.793,0,0,0,0,0,0,1,0,0,0,0,8.192,-1,2,2.953,15.746,0,0,0,0,0,0,1,0,0,0,0,6.5536,-1,3,2.718,18.464,0,0,0,0,0,0,1,0,0,0,0,5.24288,-1,4,3.232,21.696,0,0,0,0,0,0,1,0,0,0,0,4.194304,-1,5,0.5,22.196,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2.323,24.519,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,25.019,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.559,0.559,0,1,0,0,0,0,0,0,0,0,0,2.1471,1,0.01,0.283,0.842,0,1,0,0,0,0,0,0,0,0,0,1.539,1,0.02,0.221,1.063,0,1,0,0,0,0,0,0,0,0,0,1.119,1,0.03,0.205,1.268,0,1,0,0,0,0,0,0,0,0,0,0.8001,1,0.04,0.276,1.544,0,1,0,0,0,0,0,0,0,0,0,0.5862,1,0.05,0.1,1.644,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.478,0.478,0,1,0,0,0,0,0,0,0,0,0,2.1333,1,0.01,0.366,0.844,0,1,0,0,0,0,0,0,0,0,0,1.5359,1,0.02,0.201,1.045,0,1,0,0,0,0,0,0,0,0,0,1.1238,1,0.03,0.275,1.32,0,1,0,0,0,0,0,0,0,0,0,0.8197,1,0.04,0.256,1.576,0,1,0,0,0,0,0,0,0,0,0,0.5904,1,0.05,0.1,1.676,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.426,0.426,0,1,0,0,0,0,0,0,0,0,0,2.1274,1,0.01,0.286,0.712,0,1,0,0,0,0,0,0,0,0,0,1.5372,1,0.02,0.226,0.938,0,1,0,0,0,0,0,0,0,0,0,1.113,1,0.03,0.309,1.247,0,1,0,0,0,0,0,0,0,0,0,0.8027,1,0.04,0.303,1.55,0,1,0,0,0,0,0,0,0,0,0,0.5903,1,0.05,0.1,1.65,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.488,0.488,0,1,0,0,0,0,0,0,0,0,0,2.1256,1,0.01,0.367,0.855,0,1,0,0,0,0,0,0,0,0,0,1.5247,1,0.02,0.396,1.251,0,1,0,0,0,0,0,0,0,0,0,1.0908,1,0.03,0.37,1.621,0,1,0,0,0,0,0,0,0,0,0,0.7872,1,0.04,0.34,1.961,0,1,0,0,0,0,0,0,0,0,0,0.5939,1,0.05,0.1,2.061,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,2.161,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.428,0.428,0,1,0,0,0,0,0,0,0,0,0,2.1224,1,0.01,0.323,0.751,0,1,0,0,0,0,0,0,0,0,0,1.5244,1,0.02,0.215,0.966,0,1,0,0,0,0,0,0,0,0,0,1.1072,1,0.03,0.288,1.254,0,1,0,0,0,0,0,0,0,0,0,0.7924,1,0.04,0.232,1.486,0,1,0,0,0,0,0,0,0,0,0,0.5875,1,0.05,0.1,1.586,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.686,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.407,0.407,0,1,0,0,0,0,0,0,0,0,0,2.1409,1,0.01,0.333,0.74,0,1,0,0,0,0,0,0,0,0,0,1.5242,1,0.02,0.224,0.964,0,1,0,0,0,0,0,0,0,0,0,1.0844,1,0.03,0.247,1.211,0,1,0,0,0,0,0,0,0,0,0,0.7746,1,0.04,0.373,1.584,0,1,0,0,0,0,0,0,0,0,0,0.569,1,0.05,0.1,1.684,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,1.784,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,normal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.504,0.504,0,1,0,0,0,0,0,0,0,0,0,2.138,1,0.01,0.301,0.805,0,1,0,0,0,0,0,0,0,0,0,1.5185,1,0.02,0.299,1.104,0,1,0,0,0,0,0,0,0,0,0,1.1006,1,0.03,0.379,1.483,0,1,0,0,0,0,0,0,0,0,0,0.7915,1,0.04,0.329,1.812,0,1,0,0,0,0,0,0,0,0,0,0.5896,1,0.05,0.1,1.912,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1,2.012,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
