session_id,label,step_0_delta_time,step_0_step_gap,step_0_loss_val,step_0_loss_velocity,step_0_time_per_index,step_0_is_compute_phase,step_0_cum_time_norm,step_1_delta_time,step_1_step_gap,step_1_loss_val,step_1_loss_velocity,step_1_time_per_index,step_1_is_compute_phase,step_1_cum_time_norm,step_2_delta_time,step_2_step_gap,step_2_loss_val,step_2_loss_velocity,step_2_time_per_index,step_2_is_compute_phase,step_2_cum_time_norm,step_3_delta_time,step_3_step_gap,step_3_loss_val,step_3_loss_velocity,step_3_time_per_index,step_3_is_compute_phase,step_3_cum_time_norm,step_4_delta_time,step_4_step_gap,step_4_loss_val,step_4_loss_velocity,step_4_time_per_index,step_4_is_compute_phase,step_4_cum_time_norm,step_5_delta_time,step_5_step_gap,step_5_loss_val,step_5_loss_velocity,step_5_time_per_index,step_5_is_compute_phase,step_5_cum_time_norm,step_6_delta_time,step_6_step_gap,step_6_loss_val,step_6_loss_velocity,step_6_time_per_index,step_6_is_compute_phase,step_6_cum_time_norm,step_7_delta_time,step_7_step_gap,step_7_loss_val,step_7_loss_velocity,step_7_time_per_index,step_7_is_compute_phase,step_7_cum_time_norm,step_8_delta_time,step_8_step_gap,step_8_loss_val,step_8_loss_velocity,step_8_time_per_index,step_8_is_compute_phase,step_8_cum_time_norm,step_9_delta_time,step_9_step_gap,step_9_loss_val,step_9_loss_velocity,step_9_time_per_index,step_9_is_compute_phase,step_9_cum_time_norm,step_10_delta_time,step_10_step_gap,step_10_loss_val,step_10_loss_velocity,step_10_time_per_index,step_10_is_compute_phase,step_10_cum_time_norm
0,0,0,0,0,0,0,0,0,0.83,1,1.5145,1.824698795180723,0.83,1,0.027666666666666666,0.386,1,1.2269,-0.74507772,0.386,1,0.04053333333333333,0.33,1,0.9934,-0.707575758,0.33,1,0.051533333333333334,0.388,1,0.776,-0.560309278,0.388,1,0.06446666666666666,0.387,1,0.6094,-0.430490956,0.387,1,0.07736666666666667,0.37,1,0.4742,-0.365405405,0.37,1,0.08969999999999999,1.001,0,0,-0.473726274,1.001,0,0.12306666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1.255,1,1.3528,1.0779282868525897,1.255,1,0.04183333333333333,0.771,1,1.0772,-0.357457847,0.771,1,0.06753333333333332,0.737,1,0.8769,-0.271777476,0.737,1,0.0921,0.796,1,0.7001,-0.222110553,0.796,1,0.11863333333333334,0.75,1,0.5472,-0.203866667,0.75,1,0.14363333333333334,0.764,1,0.4486,-0.129057592,0.764,1,0.1691,0.788,1,0.3504,-0.124619289,0.788,1,0.19536666666666666,1.364,0,0,-0.256891496,1.364,0,0.24083333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,2.247,103,0.8942,0.3979528259902092,0.021815533980582523,1,0.0749,1.748,103,0.2822,-0.350114416,0.016970873786407766,1,0.13316666666666668,1.748,103,0.4558,0.09931350114416475,0.016970873786407766,1,0.19143333333333334,1.748,103,0.2061,-0.14284897,0.016970873786407766,1,0.24969999999999998,1.747,103,0.5877,0.2184315970234688,0.01696116504854369,1,0.30793333333333334,1.748,103,0.1407,-0.255720824,0.016970873786407766,1,0.3662,1.748,103,1.2379,0.6276887871853547,0.016970873786407766,1,0.42446666666666666,2.789,0,0,-0.443850843,2.789,0,0.5174333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,2.391,1,1.5996,0.66900878293601,2.391,1,0.07970000000000001,1.91,1,1.2786,-0.168062827,1.91,1,0.14336666666666667,1.915,1,1.0093,-0.140626632,1.915,1,0.2072,1.923,1,0.7911,-0.113468539,1.923,1,0.2713,1.895,1,0.6425,-0.078416887,1.895,1,0.3344666666666667,1.915,1,0.5015,-0.073629243,1.915,1,0.3983,1.945,1,0.3992,-0.052596401,1.945,1,0.46313333333333334,0.563,0,0,-0.709058615,0.563,0,0.48190000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,1.353,131,0.2843,0.21012564671101255,0.01032824427480916,1,0.0451,0.854,131,0.0601,-0.262529274,0.0065190839694656486,1,0.07356666666666666,0.854,131,1.1015,1.21943793911007,0.0065190839694656486,1,0.10203333333333334,3.419,0,0,-0.322170225,3.419,0,0.21600000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1.127,1,1.2549,1.1134871339840282,1.127,1,0.037566666666666665,0.67,1,1.0167,-0.355522388,0.67,1,0.059899999999999995,0.587,1,0.8321,-0.314480409,0.587,1,0.07946666666666666,0.614,1,0.6714,-0.261726384,0.614,1,0.09993333333333335,1.442,0,0,-0.465603329,1.442,0,0.14800000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,1.053,62,0.7157,0.6796771130104464,0.016983870967741933,1,0.0351,0.554,62,0.001,-1.290072202,0.008935483870967743,1,0.053566666666666665,0.553,62,0.8287,1.4967450271247738,0.008919354838709679,1,0.07200000000000001,0.554,62,0.1458,-1.23267148,0.008935483870967743,1,0.09046666666666667,0.554,62,0.2913,0.2626353790613718,0.008935483870967743,1,0.10893333333333333,0.553,62,0.2924,0.0019891500904158947,0.008919354838709679,1,0.12736666666666668,0.554,62,0.1005,-0.346389892,0.008935483870967743,1,0.14583333333333334,0.554,62,1.2193,2.019494584837545,0.008935483870967743,1,0.1643,0.062,7,0.5099,-11.44193548,0.008857142857142857,1,0.16636666666666666,3.352,0,0,-0.152118138,3.352,0,0.2781
7,1,0,0,0,0,0,0,0,1.009,77,0.001,0.000991080277502478,0.013103896103896102,1,0.03363333333333333,0.51,77,0.2392,0.46705882352941175,0.006623376623376623,1,0.05063333333333333,0.51,77,0.2991,0.11745098039215682,0.006623376623376623,1,0.06763333333333334,0.51,77,0.001,-0.584509804,0.006623376623376623,1,0.08463333333333334,0.51,77,0.2011,0.39235294117647057,0.006623376623376623,1,0.10163333333333333,0.509,77,0.6098,0.8029469548133595,0.006610389610389611,1,0.1186,0.02,3,0.1235,-24.315,0.006666666666666667,1,0.11926666666666666,3.489,0,0,-0.035396962,3.489,0,0.23556666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0.781,37,0.4824,0.6176696542893726,0.02110810810810811,1,0.026033333333333335,0.281,37,0.4914,0.03202846975088971,0.007594594594594595,1,0.0354,0.281,37,0.63,0.493238434163701,0.007594594594594595,1,0.04476666666666666,0.281,37,0.9228,1.0419928825622773,0.007594594594594595,1,0.05413333333333334,0.281,37,1.2611,1.2039145907473314,0.007594594594594595,1,0.0635,0.281,37,0.5808,-2.420996441,0.007594594594594595,1,0.07286666666666666,0.281,37,0.287,-1.045551601,0.007594594594594595,1,0.08223333333333334,0.281,37,0.4204,0.47473309608540926,0.007594594594594595,1,0.0916,0.038,5,1.1446,19.05789473684211,0.0076,1,0.09286666666666667,3.385,0,0,-0.338138848,3.385,0,0.20570000000000002
9,1,0,0,0,0,0,0,0,1.446,97,0.4832,0.33416320885200557,0.01490721649484536,1,0.0482,0.947,97,0.3371,-0.154276663,0.009762886597938144,1,0.07976666666666667,0.946,97,0.001,-0.355285412,0.009752577319587629,1,0.1113,0.947,97,0.2335,0.24551214361140447,0.009762886597938144,1,0.14286666666666664,0.947,97,0.001,-0.245512144,0.009762886597938144,1,0.17443333333333333,0.946,97,1.8877,1.9943974630021144,0.009752577319587629,1,0.2059666666666667,0.947,97,0.1189,-1.867793031,0.009762886597938144,1,0.23753333333333335,0.947,97,0.1807,0.06525871172122492,0.009762886597938144,1,0.2691,0.068,7,0.001,-2.642647059,0.009714285714285715,1,0.27136666666666664,3.7,0,0,-0.00027027,3.7,0,0.3947
