session_id,label,client_type,step_0_step_dt,step_0_step_loss,step_0_dt_mean,step_0_dt_std,step_0_loss_mean,step_0_loss_std,step_0_loss_trend,step_0_loss_jaggedness,step_1_step_dt,step_1_step_loss,step_1_dt_mean,step_1_dt_std,step_1_loss_mean,step_1_loss_std,step_1_loss_trend,step_1_loss_jaggedness,step_2_step_dt,step_2_step_loss,step_2_dt_mean,step_2_dt_std,step_2_loss_mean,step_2_loss_std,step_2_loss_trend,step_2_loss_jaggedness,step_3_step_dt,step_3_step_loss,step_3_dt_mean,step_3_dt_std,step_3_loss_mean,step_3_loss_std,step_3_loss_trend,step_3_loss_jaggedness,step_4_step_dt,step_4_step_loss,step_4_dt_mean,step_4_dt_std,step_4_loss_mean,step_4_loss_std,step_4_loss_trend,step_4_loss_jaggedness,step_5_step_dt,step_5_step_loss,step_5_dt_mean,step_5_dt_std,step_5_loss_mean,step_5_loss_std,step_5_loss_trend,step_5_loss_jaggedness,step_6_step_dt,step_6_step_loss,step_6_dt_mean,step_6_dt_std,step_6_loss_mean,step_6_loss_std,step_6_loss_trend,step_6_loss_jaggedness,step_7_step_dt,step_7_step_loss,step_7_dt_mean,step_7_dt_std,step_7_loss_mean,step_7_loss_std,step_7_loss_trend,step_7_loss_jaggedness,step_8_step_dt,step_8_step_loss,step_8_dt_mean,step_8_dt_std,step_8_loss_mean,step_8_loss_std,step_8_loss_trend,step_8_loss_jaggedness,step_9_step_dt,step_9_step_loss,step_9_dt_mean,step_9_dt_std,step_9_loss_mean,step_9_loss_std,step_9_loss_trend,step_9_loss_jaggedness,step_10_step_dt,step_10_step_loss,step_10_dt_mean,step_10_dt_std,step_10_loss_mean,step_10_loss_std,step_10_loss_trend,step_10_loss_jaggedness,step_11_step_dt,step_11_step_loss,step_11_dt_mean,step_11_dt_std,step_11_loss_mean,step_11_loss_std,step_11_loss_trend,step_11_loss_jaggedness,step_12_step_dt,step_12_step_loss,step_12_dt_mean,step_12_dt_std,step_12_loss_mean,step_12_loss_std,step_12_loss_trend,step_12_loss_jaggedness,step_13_step_dt,step_13_step_loss,step_13_dt_mean,step_13_dt_std,step_13_loss_mean,step_13_loss_std,step_13_loss_trend,step_13_loss_jaggedness,step_14_step_dt,step_14_step_loss,step_14_dt_mean,step_14_dt_std,step_14_loss_mean,step_14_loss_std,step_14_loss_trend,step_14_loss_jaggedness,step_15_step_dt,step_15_step_loss,step_15_dt_mean,step_15_dt_std,step_15_loss_mean,step_15_loss_std,step_15_loss_trend,step_15_loss_jaggedness,step_16_step_dt,step_16_step_loss,step_16_dt_mean,step_16_dt_std,step_16_loss_mean,step_16_loss_std,step_16_loss_trend,step_16_loss_jaggedness,step_17_step_dt,step_17_step_loss,step_17_dt_mean,step_17_dt_std,step_17_loss_mean,step_17_loss_std,step_17_loss_trend,step_17_loss_jaggedness,step_18_step_dt,step_18_step_loss,step_18_dt_mean,step_18_dt_std,step_18_loss_mean,step_18_loss_std,step_18_loss_trend,step_18_loss_jaggedness,step_19_step_dt,step_19_step_loss,step_19_dt_mean,step_19_dt_std,step_19_loss_mean,step_19_loss_std,step_19_loss_trend,step_19_loss_jaggedness
node_0,1,malicious_mimic,0.0,2.3932,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.493,2.4172,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.51,2.3738,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.514,2.2948,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.481,2.1206,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.485,2.0717,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.489,2.1924,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.498,1.9377,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.518,1.8215,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.513,1.5864,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.485,1.7349,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.515,1.3502,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.492,1.5073,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.513,1.672,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.489,1.6904,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.485,1.3111,0.4980418244115184,0.013339944205489545,1.9046805026215199,0.3599243739727991,-0.07471639822326814,2.350334515970975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_1,1,malicious_mimic,0.0,3.0992,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.505,2.9334,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.5,2.8352,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.493,2.6571,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.511,2.4158,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.516,2.205,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.486,2.3481,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.497,2.01,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.492,1.8301,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.512,1.5015,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.515,1.4528,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.49,1.1123,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.509,1.1663,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.514,1.0877,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.519,1.2771,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.506,1.0227,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.5,0.7641,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.517,0.926,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.496,0.964,0.5035847302667871,0.010396501162415603,1.7687823296795067,0.7486488673730689,-0.13241748201295198,3.3091742811221727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_2,1,malicious_mimic,0.0,2.4916,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.482,2.3384,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.484,2.111,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.503,2.1185,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.481,2.2167,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.505,1.8605,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.49,1.551,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.499,1.6027,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.517,1.8056,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.502,1.6727,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.484,1.3889,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.495,1.3836,0.4940117184600598,0.012492778960439105,1.8773820632879787,0.35729114698417264,-0.09659134395263924,1.8285574262182842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_3,1,malicious_mimic,0.0,2.2699,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.489,2.2224,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.489,2.2176,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.508,2.0007,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.507,1.9499,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.488,1.6809,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.516,1.7021,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.484,1.5579,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.498,1.5141,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.484,1.6448,0.4957116238053307,0.010976405786167157,1.876074105447704,0.27690610950340994,-0.08937599121437079,0.930080408671782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_4,1,malicious_mimic,0.0,1.83,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.511,1.5917,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.503,1.5925,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.498,1.399,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.516,1.4901,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.515,1.4249,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.52,1.1073,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.486,1.1064,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.495,0.9272,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.519,0.9008,0.5078987760242815,0.013146374741363381,1.3375361278085325,0.2940362965229468,-0.09886008301610881,1.1118049661088574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_5,1,malicious_mimic,0.0,3.4792,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.495,3.446,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.517,3.3353,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.504,3.1675,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.51,2.764,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.519,2.4573,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.519,2.2979,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.509,2.3162,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.481,2.2302,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.514,2.1304,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.481,2.082,0.5056703093716585,0.012864175205557373,2.7006304376383365,0.5295698852551669,-0.16134911114305775,1.4335580934535685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_6,0,normal_jittery,0.0,2.6331,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.471,2.3989,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.176,2.1981,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.235,1.9231,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.652,1.8144,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.603,1.7186,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.44,1.5699,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.463,1.3479,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.467,1.1478,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.693,1.0424,0.4652834079703479,0.16508414872651145,1.7800897289695914,0.49842406120261823,-0.1708712505721988,1.5901159305908372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_7,1,malicious_mimic,0.0,3.1489,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.485,2.8705,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.491,2.7567,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.516,2.7113,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.49,2.5848,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.487,2.479,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.508,2.6049,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.505,2.336,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.518,2.3511,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.519,2.0779,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.482,1.8046,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.483,2.0143,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.485,1.9536,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.508,1.941,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.486,1.793,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.51,1.7239,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.492,1.6992,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.507,1.4375,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.516,1.6532,0.5001920788005911,0.014283491778508817,2.2084949692350317,0.47221466624111186,-0.08326722921726709,2.62655388037224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_8,1,malicious_mimic,0.0,3.2712,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.495,2.8434,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.506,2.6136,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.5,2.6974,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.488,2.5218,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.49,2.6832,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.51,2.7833,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.517,2.7904,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.518,2.3966,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.501,2.2623,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.515,2.4252,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.505,2.4993,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.518,2.602,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.494,2.6618,0.5058933821521284,0.013469311629182273,2.648500929114789,0.23405618919320983,-0.03302746530255523,2.113091128307577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_9,1,malicious_mimic,0.0,3.0095,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.516,3.0999,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.517,3.1054,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.517,3.057,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.504,2.9957,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.511,3.0516,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.501,2.6543,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.487,2.4123,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.519,2.1181,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.501,2.1335,0.5085708624801708,0.008816169048906168,2.7633394823916655,0.3814075520522757,-0.11732017300714007,1.2097585394004688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
