label,task_id,s0_event_type,s0_duration_ms,s0_cpu_usage,s0_io_ratio,s0_data_scope_days,s0_data_scope_area,s0_record_count,s0_export_size_kb,s1_event_type,s1_duration_ms,s1_cpu_usage,s1_io_ratio,s1_data_scope_days,s1_data_scope_area,s1_record_count,s1_export_size_kb,s2_event_type,s2_duration_ms,s2_cpu_usage,s2_io_ratio,s2_data_scope_days,s2_data_scope_area,s2_record_count,s2_export_size_kb,s3_event_type,s3_duration_ms,s3_cpu_usage,s3_io_ratio,s3_data_scope_days,s3_data_scope_area,s3_record_count,s3_export_size_kb,s4_event_type,s4_duration_ms,s4_cpu_usage,s4_io_ratio,s4_data_scope_days,s4_data_scope_area,s4_record_count,s4_export_size_kb,s5_event_type,s5_duration_ms,s5_cpu_usage,s5_io_ratio,s5_data_scope_days,s5_data_scope_area,s5_record_count,s5_export_size_kb,s6_event_type,s6_duration_ms,s6_cpu_usage,s6_io_ratio,s6_data_scope_days,s6_data_scope_area,s6_record_count,s6_export_size_kb,s7_event_type,s7_duration_ms,s7_cpu_usage,s7_io_ratio,s7_data_scope_days,s7_data_scope_area,s7_record_count,s7_export_size_kb,s8_event_type,s8_duration_ms,s8_cpu_usage,s8_io_ratio,s8_data_scope_days,s8_data_scope_area,s8_record_count,s8_export_size_kb,s9_event_type,s9_duration_ms,s9_cpu_usage,s9_io_ratio,s9_data_scope_days,s9_data_scope_area,s9_record_count,s9_export_size_kb,s10_event_type,s10_duration_ms,s10_cpu_usage,s10_io_ratio,s10_data_scope_days,s10_data_scope_area,s10_record_count,s10_export_size_kb,s11_event_type,s11_duration_ms,s11_cpu_usage,s11_io_ratio,s11_data_scope_days,s11_data_scope_area,s11_record_count,s11_export_size_kb,s12_event_type,s12_duration_ms,s12_cpu_usage,s12_io_ratio,s12_data_scope_days,s12_data_scope_area,s12_record_count,s12_export_size_kb,s13_event_type,s13_duration_ms,s13_cpu_usage,s13_io_ratio,s13_data_scope_days,s13_data_scope_area,s13_record_count,s13_export_size_kb,s14_event_type,s14_duration_ms,s14_cpu_usage,s14_io_ratio,s14_data_scope_days,s14_data_scope_area,s14_record_count,s14_export_size_kb,s15_event_type,s15_duration_ms,s15_cpu_usage,s15_io_ratio,s15_data_scope_days,s15_data_scope_area,s15_record_count,s15_export_size_kb,s16_event_type,s16_duration_ms,s16_cpu_usage,s16_io_ratio,s16_data_scope_days,s16_data_scope_area,s16_record_count,s16_export_size_kb,s17_event_type,s17_duration_ms,s17_cpu_usage,s17_io_ratio,s17_data_scope_days,s17_data_scope_area,s17_record_count,s17_export_size_kb,s18_event_type,s18_duration_ms,s18_cpu_usage,s18_io_ratio,s18_data_scope_days,s18_data_scope_area,s18_record_count,s18_export_size_kb,s19_event_type,s19_duration_ms,s19_cpu_usage,s19_io_ratio,s19_data_scope_days,s19_data_scope_area,s19_record_count,s19_export_size_kb
0,job-nrm-long-9ecaba,1,0,0.0,1.0,0,0,0,0.0,2,0,1.5556,1.0,109,5000,0,1.0549,4,1446.0725,58.4981,0.9451,0,0,5000,2.1004,4,2031.9885,33.1921,0.963,0,0,5000,0.078,4,1699.2442,51.5488,0.9642,0,0,5000,0.7973,4,1709.752,50.3382,0.9749,0,0,5000,0.0,4,2267.5315,47.0922,0.9673,0,0,5000,0.0,4,1713.291,53.3988,0.9505,0,0,5000,4.0683,6,0.0,12.2891,1.0,0,0,0,200.5483,4,1662.8005,44.331,0.9713,0,0,5000,0.0,4,1563.9972,60.7096,0.967,0,0,5000,0.0,4,1855.9231,53.7785,0.9554,0,0,5000,0.6961,4,2167.9497,52.231,0.9763,0,0,5000,0.0,4,2094.2933,32.8876,0.9639,0,0,5000,0.0,6,0.0,0.0,1.0,0,0,0,199.945,4,2135.5456,36.4103,0.9599,0,0,5000,1.3159,4,1988.8002,53.1419,0.9699,0,0,5000,1.5086,4,2846.3927,28.9856,0.9855,0,0,5000,4.6362,4,2051.7937,34.439,0.9688,0,0,5000,3.4651,4,1726.3806,36.4041,0.9692,0,0,5000,0.0
1,job-atk-stlth-b6437f,1,0,13.4698,1.0,0,0,0,0.9277,2,0,1.8715,1.0,15,800,0,0.0,3,0.0,39.1031,0.0049,0,0,30000,0.3119,5,3191.626,62.7197,1.0068,0,0,1,0.0,5,3448.3513,49.0286,1.0007,0,0,1,2.481,5,3664.9345,60.6205,1.0152,0,0,1,0.0,5,2770.346,73.7945,0.9961,0,0,1,2.4958,5,4007.275,66.9545,0.9979,0,0,1,0.0,5,3890.2295,56.8729,1.0063,0,0,1,0.0,5,3372.878,51.0291,1.0066,0,0,1,0.3783,5,2191.9443,63.8423,0.9917,0,0,1,0.1628,5,3313.5563,63.1394,1.0057,0,0,1,0.0,5,3499.4445,59.5758,0.9944,0,0,1,0.0,7,0.0,0.0,1.0,0,0,0,21.8802,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-62c47d,1,0,0.0,1.0,0,0,0,1.8605,2,0,0.2196,1.0,0,800,0,0.0,3,0.0,34.2868,0.0,0,0,30000,0.0,5,3545.1962,95.3269,0.9936,0,0,1,2.4152,5,3750.5408,83.832,1.0055,0,0,1,2.247,5,3479.4725,99.5147,1.0124,0,0,1,0.0,5,2997.3391,100.0,1.0053,0,0,1,0.0,5,3000.7549,100.0,1.0118,0,0,1,1.0279,5,3009.1132,86.1519,0.9986,0,0,1,0.0,5,4233.7785,92.0273,1.0067,0,0,1,2.5085,5,3677.3397,95.5564,0.9987,0,0,1,0.0,5,3917.2841,100.0,1.0063,0,0,1,0.0,5,2987.8037,94.19,0.9936,0,0,1,0.9734,7,0.0,5.968,1.0,0,0,0,20.83,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-1420e7,1,0,0.0,1.0,0,0,0,3.5379,2,0,0.0,1.0,20,800,0,0.1942,3,0.0,37.7069,0.0103,0,0,30000,0.0,5,3845.189,91.8363,1.0094,0,0,1,0.2179,5,3607.0293,92.9451,0.9907,0,0,1,0.0,5,3017.7074,87.1899,1.0072,0,0,1,0.1949,5,3747.8142,100.0,0.9932,0,0,1,0.0,5,2502.9131,98.1112,1.0011,0,0,1,0.0,5,4336.1217,95.9837,0.9893,0,0,1,0.0,5,3366.0299,93.837,1.0054,0,0,1,0.8054,5,3795.6867,87.7744,0.9908,0,0,1,2.516,5,3104.9082,90.4616,1.0075,0,0,1,2.5268,5,3720.8954,100.0,0.9978,0,0,1,1.0067,7,0.0,5.6648,1.0,0,0,0,17.2594,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-c95274,1,0,0.0,1.0,0,0,0,3.7467,2,0,0.0,1.0,17,800,0,1.0386,3,0.0,40.3941,0.0,0,0,30000,1.8655,5,3499.0651,90.0336,0.9936,0,0,1,0.0,5,3339.1339,94.0024,1.0055,0,0,1,4.4004,5,3263.7964,97.4767,1.0075,0,0,1,3.3313,5,3109.4912,90.3685,0.9892,0,0,1,0.0,5,3206.0972,100.0,0.9973,0,0,1,0.0,5,2369.1985,90.1468,0.9879,0,0,1,0.5835,5,3584.5122,84.475,1.0008,0,0,1,1.3851,5,3586.766,93.9856,1.002,0,0,1,2.81,5,3019.5714,80.4615,0.994,0,0,1,1.598,5,3655.9266,92.7414,0.9973,0,0,1,0.0,7,0.0,9.1648,1.0,0,0,0,21.2519,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,job-nrm-long-261abf,1,0,0.0,1.0,0,0,0,0.2723,2,0,0.3077,1.0,140,5000,0,1.0273,4,2098.4878,42.2381,0.9711,0,0,5000,0.3336,4,1772.5108,56.1583,0.9577,0,0,5000,0.0,4,2083.0259,60.1258,0.9705,0,0,5000,2.8868,4,1735.9337,29.8044,0.9724,0,0,5000,0.0,4,1832.4507,19.7136,0.9655,0,0,5000,0.0,4,1725.0037,34.2724,0.9625,0,0,5000,0.3194,6,0.0,0.0,1.0,0,0,0,199.5363,4,2432.8483,54.7507,0.9695,0,0,5000,0.2259,4,2606.0327,39.7383,0.9525,0,0,5000,0.2415,4,2038.4024,63.3405,0.9624,0,0,5000,0.0,4,1924.7844,42.9959,0.9504,0,0,5000,0.0,4,1745.0163,43.4467,0.9537,0,0,5000,0.0,6,0.0,0.9983,1.0,0,0,0,194.6697,4,2232.0094,48.9751,0.9786,0,0,5000,0.0,4,2127.8692,45.2341,0.9687,0,0,5000,0.0,7,0.0,2.3632,1.0,0,0,0,10378.7337,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-22d2a2,1,0,0.0,1.0,0,0,0,0.257,2,0,0.0,1.0,19,800,0,0.0,3,0.0,32.8135,0.0017,0,0,30000,0.0,5,3508.1392,92.8639,0.9981,0,0,1,0.0,5,3943.7795,94.5655,0.9994,0,0,1,2.8996,5,3107.2626,94.0738,0.9961,0,0,1,0.9288,5,2607.2747,94.0306,0.9943,0,0,1,1.4136,5,3234.3777,82.0178,0.9963,0,0,1,0.2208,5,4217.9294,95.7164,1.0052,0,0,1,0.0,5,3174.2503,97.208,0.9994,0,0,1,0.0,5,4060.0748,96.9555,0.9982,0,0,1,0.5737,5,3142.495,90.3854,0.9931,0,0,1,0.0,5,3137.5108,88.2121,1.0102,0,0,1,0.4038,7,0.0,3.6275,1.0,0,0,0,17.419,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-036fb6,1,0,0.0,1.0,0,0,0,0.8853,2,0,0.0,1.0,21,800,0,1.509,3,0.0,29.5087,0.0,0,0,30000,0.0,5,4264.7381,62.0421,0.9732,0,0,1,0.0,5,3647.181,63.9045,0.9865,0,0,1,2.2221,5,3397.7905,57.5834,1.0035,0,0,1,0.017,5,3315.2238,72.8894,0.9884,0,0,1,0.0,5,4347.4814,65.1668,1.0112,0,0,1,0.0,5,3900.574,59.2393,0.9969,0,0,1,0.0,5,3037.7654,76.5324,1.0238,0,0,1,1.1716,5,3235.6086,69.3683,1.0132,0,0,1,3.53,5,3715.8283,55.2074,1.0288,0,0,1,0.0,5,4267.05,67.1882,0.9965,0,0,1,0.8839,7,0.0,7.7116,1.0,0,0,0,23.7773,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
1,job-atk-stlth-3b3d88,1,0,0.0,1.0,0,0,0,0.0,2,0,1.1215,1.0,25,800,0,0.0,3,0.0,42.4242,0.0063,0,0,30000,0.0,5,3740.8059,100.0,1.0128,0,0,1,1.559,5,3306.1477,82.4963,0.9939,0,0,1,0.0,5,3966.5294,94.4158,1.0017,0,0,1,1.3056,5,3119.0386,94.807,0.9941,0,0,1,0.0,5,3028.4329,100.0,1.0067,0,0,1,0.0,5,3035.7515,99.9832,0.9906,0,0,1,2.1288,5,3994.7856,87.1717,1.0043,0,0,1,1.8974,5,3364.546,92.1592,0.9904,0,0,1,0.0,5,3114.5626,79.7894,0.9791,0,0,1,1.1588,5,3076.1525,88.6075,0.9999,0,0,1,0.1141,7,0.0,2.4106,1.0,0,0,0,20.16,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,job-nrm-long-9c6a3d,1,0,0.0,1.0,0,0,0,0.0,2,0,0.0,1.0,165,5000,0,1.2337,4,2019.9223,37.529,0.9578,0,0,5000,0.0,4,2002.1526,51.9085,0.964,0,0,5000,0.0,4,2027.2397,44.3281,0.959,0,0,5000,0.0,4,1808.0229,38.0993,0.9451,0,0,5000,0.0,4,2378.6595,45.937,0.9559,0,0,5000,0.0,4,2267.7441,49.5304,0.9668,0,0,5000,0.0,6,0.0,0.0,1.0,0,0,0,198.1961,4,1877.2409,37.7613,0.969,0,0,5000,0.6654,4,1132.9098,49.9551,0.9629,0,0,5000,0.4298,4,1889.4402,50.0543,0.954,0,0,5000,0.619,4,2056.8033,40.8686,0.955,0,0,5000,3.1667,4,1632.0874,61.0051,0.9539,0,0,5000,1.8973,6,0.0,2.8438,1.0,0,0,0,199.4602,4,2022.7767,48.2778,0.9498,0,0,5000,0.0,4,2093.2416,38.4419,0.9673,0,0,5000,2.1049,4,2513.6452,32.1203,0.9709,0,0,5000,0.0,4,2142.2368,55.487,0.9738,0,0,5000,0.0,7,0.0,6.5851,1.0,0,0,0,10833.8638
