label,len,t0_event,t0_dur,t0_cpu,t0_io,t0_days,t0_area,t0_rec,t0_exp,t1_event,t1_dur,t1_cpu,t1_io,t1_days,t1_area,t1_rec,t1_exp,t2_event,t2_dur,t2_cpu,t2_io,t2_days,t2_area,t2_rec,t2_exp,t3_event,t3_dur,t3_cpu,t3_io,t3_days,t3_area,t3_rec,t3_exp,t4_event,t4_dur,t4_cpu,t4_io,t4_days,t4_area,t4_rec,t4_exp,t5_event,t5_dur,t5_cpu,t5_io,t5_days,t5_area,t5_rec,t5_exp,t6_event,t6_dur,t6_cpu,t6_io,t6_days,t6_area,t6_rec,t6_exp,t7_event,t7_dur,t7_cpu,t7_io,t7_days,t7_area,t7_rec,t7_exp,t8_event,t8_dur,t8_cpu,t8_io,t8_days,t8_area,t8_rec,t8_exp,t9_event,t9_dur,t9_cpu,t9_io,t9_days,t9_area,t9_rec,t9_exp,t10_event,t10_dur,t10_cpu,t10_io,t10_days,t10_area,t10_rec,t10_exp,t11_event,t11_dur,t11_cpu,t11_io,t11_days,t11_area,t11_rec,t11_exp,t12_event,t12_dur,t12_cpu,t12_io,t12_days,t12_area,t12_rec,t12_exp,t13_event,t13_dur,t13_cpu,t13_io,t13_days,t13_area,t13_rec,t13_exp,t14_event,t14_dur,t14_cpu,t14_io,t14_days,t14_area,t14_rec,t14_exp,t15_event,t15_dur,t15_cpu,t15_io,t15_days,t15_area,t15_rec,t15_exp,t16_event,t16_dur,t16_cpu,t16_io,t16_days,t16_area,t16_rec,t16_exp,t17_event,t17_dur,t17_cpu,t17_io,t17_days,t17_area,t17_rec,t17_exp,t18_event,t18_dur,t18_cpu,t18_io,t18_days,t18_area,t18_rec,t18_exp,t19_event,t19_dur,t19_cpu,t19_io,t19_days,t19_area,t19_rec,t19_exp
1,7,1,0,0.0,1.0,0,0,0,8.691,2,0,33.864,1.0,10,200,0,7.801,3,0.0,19.643,0.0,0,0,20000,9.255,5,4836.677,100.0,1.0,0,0,1,8.967,5,4643.881,84.069,1.0,0,0,1,0.0,5,4840.611,93.848,1.0,0,0,1,0.0,7,0.0,0.0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,9,1,0,24.828,1.0,0,0,0,1.661,2,0,0.0,1.0,14,338,0,0.0,3,0.0,34.476,0.002,0,0,10000,0.0,5,3474.43,85.192,1.0,0,0,1,0.0,5,4477.23,60.855,1.0,0,0,1,0.0,5,2943.438,52.605,1.0,0,0,1,0.0,5,3433.918,81.89,1.0,0,0,1,18.177,5,3926.681,95.266,1.0,0,0,1,3.366,7,0.0,0.0,1.0,0,0,0,22.938,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,22,1,0,21.811,1.0,0,0,0,2.372,2,0,14.677,1.0,353,5000,0,0.0,4,1538.792,67.385,0.908,0,0,5000,2.669,4,2499.628,93.13,0.947,0,0,5000,6.01,4,1066.362,58.408,0.975,0,0,5000,3.49,4,3116.448,51.078,0.836,0,0,5000,4.96,4,2744.493,29.141,0.912,0,0,5000,0.0,4,1857.399,45.482,0.851,0,0,5000,2.382,4,2936.95,48.37,0.832,0,0,5000,0.0,4,2318.334,52.12,0.844,0,0,5000,1.612,4,2049.596,61.102,0.925,0,0,5000,1.377,4,2014.865,51.708,0.904,0,0,5000,0.0,4,1608.551,53.292,0.951,0,0,5000,0.0,4,1729.034,47.757,0.878,0,0,5000,8.248,4,2212.533,51.267,0.9,0,0,5000,0.0,4,2334.464,24.991,0.949,0,0,5000,0.0,4,2093.498,41.183,0.867,0,0,5000,0.0,4,1980.366,26.722,0.911,0,0,5000,13.654,4,2472.69,27.727,0.818,0,0,5000,0.0,4,1492.351,40.282,0.873,0,0,5000,0.0
1,26,1,0,1.208,1.0,0,0,0,0.0,2,0,14.022,1.0,31,1000,0,15.277,3,0.0,9.844,0.006,0,0,20000,0.0,5,1420.84,84.395,1.0,0,0,1,0.0,5,1408.34,34.341,1.0,0,0,1,33.301,5,1337.94,15.326,1.0,0,0,1,3.192,5,1191.696,42.238,1.0,0,0,1,25.053,5,1801.269,74.318,1.0,0,0,1,11.199,5,3018.573,54.159,1.0,0,0,1,17.99,5,1331.85,60.711,1.0,0,0,1,0.0,5,1206.423,65.649,1.0,0,0,1,0.0,5,1148.641,68.011,1.0,0,0,1,0.0,5,1231.225,93.797,1.0,0,0,1,0.0,5,1538.963,55.33,1.0,0,0,1,0.0,5,1724.642,64.914,1.0,0,0,1,7.267,5,1010.964,61.066,1.0,0,0,1,0.0,5,1937.845,45.649,1.0,0,0,1,0.0,5,1310.035,68.771,1.0,0,0,1,15.858,5,1534.81,80.855,1.0,0,0,1,0.0,5,1837.679,87.504,1.0,0,0,1,11.046
0,9,1,0,1.679,1.0,0,0,0,3.198,2,0,0.257,1.0,13,369,0,0.0,3,0.0,41.543,0.001,0,0,10000,8.77,5,3519.35,64.506,1.0,0,0,1,0.0,5,2889.406,100.0,1.0,0,0,1,3.353,5,2867.78,82.407,1.0,0,0,1,15.095,5,4670.358,79.503,1.0,0,0,1,16.906,5,2742.602,93.895,1.0,0,0,1,0.0,7,0.0,20.851,1.0,0,0,0,31.448,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,19,1,0,0.0,1.0,0,0,0,6.853,2,0,20.655,1.0,256,5000,0,0.0,4,2565.506,60.719,0.934,0,0,5000,4.151,4,2757.945,50.873,0.909,0,0,5000,0.0,4,2143.662,61.397,0.98,0,0,5000,0.0,4,2430.473,39.725,0.855,0,0,5000,2.64,4,2040.793,13.258,0.854,0,0,5000,9.977,4,2512.814,53.662,0.834,0,0,5000,7.53,4,2276.782,30.725,0.849,0,0,5000,0.0,4,1734.205,24.335,0.835,0,0,5000,0.0,4,1797.226,35.564,0.903,0,0,5000,0.0,4,2316.098,38.903,0.902,0,0,5000,5.567,4,1709.22,12.084,0.809,0,0,5000,6.587,4,1549.127,41.952,0.968,0,0,5000,8.226,4,2023.833,61.685,0.919,0,0,5000,0.0,4,1721.849,45.765,0.811,0,0,5000,0.0,4,1976.488,50.731,0.929,0,0,5000,13.869,4,1467.803,32.635,0.873,0,0,5000,0.0,7,0.0,0.0,1.0,0,0,0,12924.891,0,0.0,0.0,0.0,0,0,0,0.0
1,24,1,0,40.969,1.0,0,0,0,0.0,2,0,2.383,1.0,24,1000,0,0.0,3,0.0,25.304,0.003,0,0,20000,0.0,5,1084.746,88.735,1.0,0,0,1,29.904,5,1299.712,72.62,1.0,0,0,1,0.0,5,992.765,40.605,1.0,0,0,1,0.0,5,1407.753,28.553,1.0,0,0,1,0.0,5,1854.016,41.499,1.0,0,0,1,0.0,5,1182.593,64.448,1.0,0,0,1,0.0,5,1415.305,77.805,1.0,0,0,1,4.248,5,1389.364,32.598,1.0,0,0,1,0.0,5,1026.077,51.389,1.0,0,0,1,1.762,5,1958.943,54.813,1.0,0,0,1,0.0,5,1357.538,59.997,1.0,0,0,1,0.016,5,1708.521,24.745,1.0,0,0,1,0.0,5,779.111,41.542,1.0,0,0,1,1.772,5,1101.824,35.154,1.0,0,0,1,0.0,5,1270.305,73.914,1.0,0,0,1,11.925,5,1738.11,53.439,1.0,0,0,1,0.0,5,1802.119,52.252,1.0,0,0,1,0.0
1,7,1,0,6.444,1.0,0,0,0,0.0,2,0,0.0,1.0,0,200,0,0.0,3,0.0,28.247,0.0,0,0,20000,0.0,5,3012.462,100.0,1.0,0,0,1,0.0,5,4270.404,100.0,1.0,0,0,1,0.923,5,3070.887,100.0,1.0,0,0,1,6.688,7,0.0,0.0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
0,25,1,0,0.0,1.0,0,0,0,0.0,2,0,0.0,1.0,112,5000,0,1.65,4,1950.478,42.264,0.938,0,0,5000,0.0,4,2214.582,51.146,0.876,0,0,5000,8.453,4,2272.673,35.81,0.882,0,0,5000,8.711,4,2574.235,28.74,0.955,0,0,5000,0.0,4,1695.446,43.325,0.807,0,0,5000,0.0,4,2013.895,22.095,0.975,0,0,5000,0.0,4,2262.731,29.537,0.872,0,0,5000,0.0,4,1703.953,87.162,0.889,0,0,5000,0.0,4,2073.597,61.113,0.919,0,0,5000,15.181,4,884.22,31.643,0.946,0,0,5000,0.0,4,2285.508,23.225,0.87,0,0,5000,9.862,4,2212.586,58.456,0.925,0,0,5000,0.0,4,2130.084,52.098,0.85,0,0,5000,19.134,4,2425.0,25.338,0.893,0,0,5000,0.0,4,1884.782,52.337,0.872,0,0,5000,6.9,4,2024.978,67.248,0.955,0,0,5000,5.232,4,1456.205,77.063,0.92,0,0,5000,17.948,4,1861.766,64.092,0.817,0,0,5000,0.0
0,23,1,0,0.0,1.0,0,0,0,0.0,2,0,13.836,1.0,241,5000,0,0.0,4,1574.571,60.553,0.919,0,0,5000,6.815,4,2215.23,38.901,0.959,0,0,5000,4.218,4,1605.749,60.574,0.936,0,0,5000,0.0,4,2022.668,55.029,0.863,0,0,5000,16.702,4,2516.459,40.848,0.832,0,0,5000,4.839,4,2055.129,46.46,0.927,0,0,5000,0.016,4,1927.511,60.455,0.959,0,0,5000,13.653,4,2592.795,61.235,0.96,0,0,5000,0.0,4,1967.096,38.957,0.941,0,0,5000,0.0,4,2319.024,40.051,0.822,0,0,5000,19.113,4,2477.693,49.76,0.928,0,0,5000,0.0,4,2069.767,83.935,0.828,0,0,5000,0.0,4,1201.208,42.591,0.824,0,0,5000,0.0,4,2056.676,16.839,0.943,0,0,5000,0.0,4,1570.886,50.046,0.957,0,0,5000,0.672,4,2005.947,29.761,0.96,0,0,5000,0.0,4,1465.726,35.428,0.913,0,0,5000,0.671,4,1940.225,43.142,0.947,0,0,5000,0.0
